Model,Accuracy,Precision,Recall,F1-score,AUC
Random Forest,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8960205391527599
SVM,0.7666666666666667,0.6923076923076923,0.47368421052631576,0.5625,0.8741976893453145
Logistic Regression,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8613607188703467
MLP,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8562259306803595
XGBoost,0.8333333333333334,0.8461538461538461,0.5789473684210527,0.6875,0.8472400513478819
KNN,0.7166666666666667,0.6,0.3157894736842105,0.41379310344827586,0.7824133504492939
