Data Version,Model,Accuracy,Precision,Recall,F1-score,AUC
scaled,Random Forest,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8960205391527599
raw,Random Forest,0.8,0.7692307692307693,0.5263157894736842,0.625,0.8934531450577663
winsorized,Random Forest,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.886392811296534
winsorized,XGBoost,0.8333333333333334,0.8461538461538461,0.5789473684210527,0.6875,0.8562259306803595
raw,XGBoost,0.8333333333333334,0.8461538461538461,0.5789473684210527,0.6875,0.8472400513478819
scaled,XGBoost,0.8333333333333334,0.8461538461538461,0.5789473684210527,0.6875,0.8472400513478819
